packets_per_window,avg_packet_size,tcp_count,udp_count,anomaly
20122,887.5382665738993,20110,12,1
6434,879.8333851414361,6428,6,1
4541,838.5712398150188,4541,0,1
4533,974.4284138539598,4533,0,1
13967,954.8428438462089,13967,0,1
3478,919.3732029902243,3464,14,1
1781,828.9612577203818,1775,6,1
1740,744.7189655172414,1729,11,1
3482,898.9712808730615,3482,0,1
3185,812.1431711145997,3177,8,1
6183,891.6493611515446,6175,8,1
1809,1026.053620784964,1809,0,1
2526,830.0475059382422,2520,6,1
1975,799.580253164557,1924,51,1
1414,772.5707213578501,1414,0,1
4588,849.7537053182215,4576,12,1
6092,947.8030203545634,6092,0,1
2776,895.775576368876,2772,4,1
2930,866.7255972696246,2920,10,1
4124,844.7228419010669,4120,4,1
9947,951.5513220066351,9941,6,1
2855,844.8977232924693,2855,0,1
8302,950.3813538906288,8302,0,1
16547,946.4903607904756,16543,4,1
3913,870.4152823920266,3907,6,1
3127,807.7956507834986,3123,4,1
3005,794.9970049916806,2997,8,1
2358,754.8303647158609,2358,0,1
2227,939.0175123484509,2221,6,1
2621,816.6947729874094,2603,18,1
2776,798.568083573487,2770,6,1
4907,829.8006928877114,4901,6,1
4913,851.9167514756767,4913,0,1
11307,956.9075793756081,11307,0,1
7554,911.9696849351337,7554,0,1
7394,875.6012983500135,7390,4,1
13374,934.7027067444295,13365,9,1
13262,899.4628261197406,13246,16,1
5188,850.3430994602929,5187,1,1
4082,827.2986281234689,4071,6,1
6283,883.0997930924717,6271,12,1
3555,955.4033755274262,3546,9,1
3585,951.5846582984658,3579,6,1
4908,897.2540749796251,4907,1,1
2637,827.6139552521805,2636,1,1
1754,737.415621436716,1753,1,1
1547,707.0853264382677,1539,8,1
2652,881.8974358974359,2646,6,1
13163,932.5812504748158,13140,23,1
195,471.83076923076925,178,17,1
53,552.7735849056604,52,1,1
31,160.8709677419355,25,6,1
915,843.6098360655737,905,10,1
2044,797.1100782778865,2015,29,1
1376,930.7441860465116,1368,8,1
1495,839.6454849498327,1491,4,1
144,631.9236111111111,133,11,1
95,516.1789473684211,90,5,1
129,556.1395348837209,121,8,1
914,1265.1498905908097,903,11,1
149,1174.3959731543623,143,6,1
437,704.1212814645309,430,7,1
